"public_sku","manufacturer_mpn","manufacturer","title","source_class","source_domain","response_status","resolution","match_status","rights_status","recommended_action","approval_checkbox","reviewer_status","reviewer_notes"
"500256","500256","Eagle Aspen","25 Db Distribution Amp","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"DTV2BUHF","DTV2BUHF","Eagle Aspen","2-BAY UHF Outdoor Antenna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"500302","500302","Eagle Aspen","2-WAY 1000 MHz Splitter","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"500303","500303","Eagle Aspen","3WAY All Port Power Splittr","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"500308","500308","Eagle Aspen","2-WAY Splitter","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"500312","500312","Eagle Aspen","4-WAY Splitter","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"EIS3-1004-WHT","EIS3-1004-WHT","Energizer Connect","6OT Smart Surge Protector","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"AS-HP-5R","AS-HP-5R","Helios","5OUT 2USB Surge Wall Tap","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"CS-1X4HDMSPL5","CS-1X4HDMSPL5","Ethereal","1IN/4OUT HDMI Splitter","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"CS-C5DE","CS-C5DE","Ethereal","CAT5/6 Digital Aud Extension","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"CS-DAC2","CS-DAC2","Ethereal","Toslink/opt Spdif Converter","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"CS-HDEXT4KPOEU","CS-HDEXT4KPOEU","Ethereal","4K Extender Cat6 Black","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"MHX-LHDME12","MHX-LHDME12","Ethereal","12M HDMI Cable 10.2G","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"MHX-LHDME2","MHX-LHDME2","Ethereal","2M HDMI Cable 18G","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"MHX-LHDME4","MHX-LHDME4","Ethereal","4M HDMI Cable 18G","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"MHX-T15","MHX-T15","Ethereal","MHX Series TOSLINK Digital Optical Audio Cable, 15 m","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"UHF-04M-S1234","UHF-04M-S1234","Gemini","UHF-04M Wireless Prof System","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"30-495","30-495","Ideal","Mod Plug Crimp Tool","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"31-340","31-340","Ideal","Powr-Fish Heavy-Duty Pull Line, 6,500 ft","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"33-396","33-396","Ideal","RJ45/RJ11 Crimp Tool Kit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"33-507","33-507","Ideal","RJ45 Trmnation Hip Kit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"35-088","35-088","Ideal","Electr Scissors With Notch","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"45-121","45-121","Ideal","T-Stripper Wire Stripper for 14–24 Solid and 16–26 Stranded Wire","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"45-915","45-915","Ideal","Kinetic Reflex T-Stripper Wire Stripper","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"62-200","62-200","Ideal","Linkmaster Ethernet","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"85-366","85-366","Ideal","Cat6 RJ45 Plug 25/CD","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"85-368","85-368","Ideal","25PK CAT6/5 Mod Plug","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"85-369","85-369","Ideal","50PK CAT6/5 Mod Plug","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"85-371","85-371","Ideal","50PK Cat5e RJ45 Plugs","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"85-372","85-372","Ideal","100PK Cat5e RJ45 Plugs","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"85-376","85-376","Ideal","50PK Cat6 RJ45 Plugs","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"85-377","85-377","Ideal","100PK Cat6 RJ45 Plugs","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"86-396","86-396","Ideal","RJ45 Mod Plug Bag Of 100","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"89-5047","89-5047","Ideal","RG59 BNC Compression","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"DPS-1100 USB","DPS-1100 USB","Koblenz","Desk Charging Station","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"KRA-22M","KRA-22M","Kenwood","UHF Antenna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"KRA-23M","KRA-23M","Kenwood","VHF Antenna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"56-200","56-200","Labor Saving Devices","Decoil-zit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"81-000","81-000","Labor Saving Devices","Creepzit Pro 36FT Kit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"81-130","81-130","Labor Saving Devices","Creep-zit Wire Running Kit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"81-230","81-230","Labor Saving Devices","Connector Wire Rod Kit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"81-600","81-600","Labor Saving Devices","Creepzit Compact 24FT Kit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"81-700","81-700","Labor Saving Devices","Royrods Wire Running Kit","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"82-110","82-110","Labor Saving Devices","Grabbit Mini 10 ft Pole","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"82-118","82-118","Labor Saving Devices","18 ft Grabbit Pole","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"82-350","82-350","Labor Saving Devices","Grabbit Ztip Adapter","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"85-124","85-124","Labor Saving Devices","Wet Noodle & Retriever","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"33202","33202","Stanley","4OUT Surgequad USB Surge","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"910-1001","910-1001","Nanuk","910 Case W/foam Black","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"925S-060BK-0A0","925S-060BK-0A0","Nanuk","925 Cam Case W/org Dividr","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"963-1001","963-1001","Nanuk","Case 963 With Foam Black","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"965-1001","965-1001","Nanuk","Case 965 With Foam Black","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"PB802105","PB802105","Prime","1OUT 900J Surge Tap","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"PBRUSB346S-A","PBRUSB346S-A","Prime","6OUT 1200J Surge Tap","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"PCBLCO102","PCBLCO102","Pyle","Cable Protector Ramp with Flip-Open Access Lid","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"PDWM2145","PDWM2145","Pyle","Fixed Freq Wireless Mic System","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"PDWM3375","PDWM3375","Pyle","2CH Wireless Mic System","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"PDWM3400","PDWM3400","Pyle","Premier Wireless Mic System","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"PDBC70","PDBC70","Pyle","9O 15A Power Switch Control","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"PDWM4120","PDWM4120","Pyle","H&o UHF Wireless Mic System","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"AMP1450E","AMP1450E","RCA","Digi Amp For Indoor Antna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"ANT111E","ANT111E","RCA","Indoor Passive Antenna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"ANT1560E1","ANT1560E1","RCA","Amplified Indoor Flat Multi-Directional HDTV Antenna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"ANT310E","ANT310E","RCA","Amplified Indoor Antna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"ANT705E","ANT705E","RCA","Attic/outdoor Hdtv Antenna","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"ANT754E","ANT754E","RCA","Antenna Outdoor Attic Compa","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"DH12HHE","DH12HHE","RCA","12FT Dig Plus HDMI 2 HDMI","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"DH24SPE","DH24SPE","RCA","2.4GHZ 2WAY Digital Splitter","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"DH3HHE","DH3HHE","RCA","3FT HDMI Cable","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"DH6HHE","DH6HHE","RCA","6FT Dig Plus HDMI To HDMI","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"DV10RV","DV10RV","RCA","6FT Optical Cable Black","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"TP210WHRV","TP210WHRV","RCA","7FT Mod Phone Cord White","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"TP231WHR","TP231WHR","RCA","15FT Phone Line Cord White","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"TP243WHR","TP243WHR","RCA","25FT Phone Line Cord White","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"TP257WHR","TP257WHR","RCA","Duplex Mod Jack White","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"TP265WHR","TP265WHR","RCA","Surf Mount Phone Jack White","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
"TP280WRV","TP280WRV","RCA","12FT Phone Coil Cord White","petra_supplier_feed","petraimages.com.s3.amazonaws.com","working","600x600","exact_mpn_catalog_association_visual_review_pending","pending_petra_confirmation","Confirm exact MPN image and obtain Petra reseller-use permission","","pending_review",""
